Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1432;SGMO;Sangamo Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US8006771062;ESVUFR;1,00;0,01;USD;28.12.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1433;SHAK;Shake Shack Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US8190471016;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1434;SHEL;JPMorgan Chase Bank, N.A.;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные;Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций  Shell plc;US7802593050;EDSNDR;1,00;0,01;USD;01.02.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
1435;SHEN;Shenandoah Telecommunications Company;Акции;Акции иностранного эмитента обыкновенные;;US82312B1061;ESVTFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1436;SHL@DE;Siemens Healthineers AG;Акции;Акции иностранного эмитента обыкновенные;;DE000SHL1006;ESVUFR;1,00;0,01;EUR;01.03.2021 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
1437;SHLS;Shoals Technologies Group, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US82489W1071;ESVUFR;1,00;0,01;USD;18.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1438;SHOO;Steven Madden, Ltd.;Акции;Акции иностранного эмитента обыкновенные;;US5562691080;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1439;SHOP;Shopify Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;CA82509L1076;ESVUFR;1,00;0,01;USD;16.07.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1440;SHW;The Sherwin-Williams Company;Акции;Акции иностранного эмитента обыкновенные;;US8243481061;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1441;SI;Silvergate Capital Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US82837P4081;ESVUFR;1,00;0,01;USD;01.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1442;SIE@DE;Siemens Aktiengesellschaft;Акции;Акции иностранного эмитента обыкновенные;;DE0007236101;ESVUFR;1,00;0,01;EUR;01.03.2021 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
1443;SIG;Signet Jewelers Limited;Акции;Акции иностранного эмитента обыкновенные;;BMG812761002;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1444;SIGI;Selective Insurance Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US8163001071;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1445;SILK;Silk Road Medical, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US82710M1009;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
1446;SITE;SiteOne Landscape Supply, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US82982L1035;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
